config,n_vlinks,scheme,n_fabrics,bw,jitdef,delays_max,delays_mean,jitters_max,jitters_mean,time,rate,size_factor,smax_max,smax_mean,bw_min,bw_max,bw_mean,bw_var,bw_min_orig,bw_max_orig,bw_mean_orig,bw_var_orig,error,times_calc,topology,config_id,config_dir
"2s-4e_final_vls_2",500,cioq,16,0.025,0,2615.0,1979.810333333334,2613.0,1977.621666666667,0.240631,125000,0.3948137268836563,597,407.21,0.013065,0.02497,0.020152,0.005381,0.033127,0.063321,0.051102,0.013646,"",1,"2s-4e",2,"vlconfigs/msggen1"
"2s-4e_final_vls_3",500,cioq,16,0.025,0,2270.0,1729.6163333333334,2268.0,1727.3810000000014,0.23072,125000,0.3546350805021633,537,362.89,0.011656,0.024965,0.018847,0.005164,0.032919,0.070495,0.053216,0.014582,"",1,"2s-4e",3,"vlconfigs/msggen1"
"3s-48e-4L_final_vls_1",500,cioq,16,0.025,0,3552.0,1577.1350000000004,3549.0,1574.878333333334,0.06337,125000,2.5725457913150858,3894,2638.346,0.001919,0.024994,0.012433,0.005281,0.000746,0.009718,0.004834,0.002053,"",1,"3s-48e-4L",1,"vlconfigs/msggen1"
"3s-48e-4L_final_vls_2",500,cioq,16,0.025,0,2666.0,1413.7659999999998,2663.0,1411.465000000001,0.066735,125000,2.2477971587843912,3409,2327.164,0.002856,0.024995,0.011062,0.004618,0.001271,0.011122,0.004922,0.002055,"",1,"3s-48e-4L",2,"vlconfigs/msggen1"
"3s-48e-4L_final_vls_3",500,cioq,16,0.025,0,2938.5,1540.6433333333334,2935.5,1538.3513333333335,0.067746,125000,2.4031529366528885,3635,2522.076,0.002652,0.024995,0.012001,0.005212,0.001104,0.010403,0.004995,0.002169,"",1,"3s-48e-4L",3,"vlconfigs/msggen1"
"6s-54e-3L_final_vls_1",500,cioq,16,0.025,0,2412.0,1273.1500000000005,2409.0,1270.5936666666669,0.051524,125000,2.961383558398484,4471,3085.352,0.002044,0.024996,0.009835,0.004803,0.00069,0.008442,0.003322,0.001622,"",1,"6s-54e-3L",1,"vlconfigs/msggen1"
"6s-54e-3L_final_vls_2",500,cioq,16,0.025,0,2140.6666666666665,1271.7886666666664,2137.0,1269.3023333333335,0.046078,125000,3.181066293421555,4816,3285.988,0.002061,0.024997,0.009766,0.00504,0.000648,0.007859,0.003071,0.001585,"",1,"6s-54e-3L",2,"vlconfigs/msggen1"
"6s-54e-3L_final_vls_3",500,cioq,16,0.025,0,2144.3333333333335,1211.625,2140.6666666666665,1209.1170000000009,0.051877,125000,2.928429190582172,4445,3045.07,0.000784,0.024997,0.009771,0.004763,0.000268,0.008537,0.003337,0.001627,"",1,"6s-54e-3L",3,"vlconfigs/msggen1"
"diamond-48e-4L_final_vls_1",500,cioq,16,0.025,0,2572.3333333333335,1335.2933333333326,2569.3333333333335,1332.9413333333334,0.056,125000,2.5725457913150858,3894,2638.346,0.001919,0.024994,0.010981,0.004607,0.000746,0.009718,0.004269,0.001791,"",1,"diamond-48e-4L",1,"vlconfigs/msggen1"
"diamond-48e-4L_final_vls_2",500,cioq,16,0.025,0,2476.0,1423.721333333333,2472.0,1421.2883333333325,0.059977,125000,2.787378749024418,4228,2922.748,0.001396,0.024994,0.011863,0.004845,0.000501,0.008969,0.004257,0.001739,"",1,"diamond-48e-4L",2,"vlconfigs/msggen1"
"diamond-48e-4L_final_vls_3",500,cioq,16,0.025,0,2610.0,1381.3696666666667,2607.5,1378.987,0.062219,125000,2.6844196284763235,4074,2764.946,0.00257,0.024998,0.011449,0.004573,0.000958,0.009313,0.004266,0.001704,"",1,"diamond-48e-4L",3,"vlconfigs/msggen1"
"double_reserve_mod-48e-6L_final_vls_1",500,cioq,16,0.025,0,2965.6666666666665,1643.0593333333343,2961.0,1639.5866666666668,0.083572,125000,2.5725457913150858,3894,2638.346,0.001088,0.024994,0.008926,0.004669,0.000423,0.009718,0.00347,0.001815,"",1,"double_reserve_mod-48e-6L",1,"vlconfigs/msggen1"
"double_reserve_mod-48e-6L_final_vls_2",500,cioq,16,0.025,0,2524.6666666666665,1517.1280000000008,2519.6666666666665,1513.7286666666657,0.070248,125000,2.405696689761355,3651,2561.02,0.00083,0.024996,0.00855,0.004629,0.000345,0.010392,0.003555,0.001925,"",1,"double_reserve_mod-48e-6L",2,"vlconfigs/msggen1"
"double_reserve_mod-48e-6L_final_vls_3",500,cioq,16,0.025,0,3125.0,1619.8906666666662,3120.0,1616.4966666666662,0.071275,125000,2.714440825190011,4087,2848.372,0.000217,0.024994,0.009103,0.004889,8e-05,0.00921,0.003354,0.001802,"",1,"double_reserve_mod-48e-6L",3,"vlconfigs/msggen1"
"2s-4e_final_vls_1",500,cioq,16,0.025,0,2504.0,1880.693999999999,2501.0,1878.451000000001,0.231556,125000,0.42483771199401826,642,390.108,0.010868,0.024963,0.017904,0.005304,0.02561,0.058846,0.042201,0.012505,"",1,"2s-4e",1,"vlconfigs/msggen2"
"2s-4e_final_vls_2",500,cioq,16,0.025,0,2494.0,1934.899333333334,2491.0,1932.6856666666665,0.257435,125000,0.43186097531482665,654,386.448,0.006396,0.024967,0.017494,0.006077,0.014827,0.057889,0.040561,0.01409,"",1,"2s-4e",2,"vlconfigs/msggen2"
"2s-4e_final_vls_3",500,cioq,16,0.025,0,3185.0,2302.662666666666,3183.0,2300.451333333333,0.245424,125000,0.5254308532997058,797,477.214,0.010281,0.024975,0.018361,0.005295,0.019588,0.04758,0.034982,0.010088,"",1,"2s-4e",3,"vlconfigs/msggen2"
"3s-48e-4L_final_vls_1",500,cioq,16,0.025,0,2622.0,1291.285666666666,2618.6666666666665,1289.0366666666666,0.070699,125000,2.3645133831457485,3589,2159.732,0.001134,0.024993,0.007991,0.005105,0.00048,0.010573,0.00338,0.002159,"",1,"3s-48e-4L",1,"vlconfigs/msggen2"
